index,start_at,open,high,low,close,volume,turnover,date
1585130400.0,1585130400.0,6500,6591.5,6500,6591.5,0.004,26.366,2020-03-25 10:00:00
1585134000.0,1585134000.0,6591.5,6628.5,6457.5,6511.5,438.873,2857721.5395,2020-03-25 11:00:00
1585137600.0,1585137600.0,6511.5,6588.5,6502,6583.5,529.318,3484765.053,2020-03-25 12:00:00
1585141200.0,1585141200.0,6583.5,6745.5,6562,6585,449.162,2957731.77,2020-03-25 13:00:00
1585144800.0,1585144800.0,6585,6640,6516,6590,258.831,1705696.29,2020-03-25 14:00:00
1585148400.0,1585148400.0,6590,6662,6590,6615,20.693,136884.195,2020-03-25 15:00:00
1585152000.0,1585152000.0,6615,6695.5,6601.5,6664.5,23.185,154516.4325,2020-03-25 16:00:00
1585155600.0,1585155600.0,6664.5,6677.5,6635.5,6650,16.523,109877.95,2020-03-25 17:00:00
1585159200.0,1585159200.0,6650,6652.5,6592.5,6652.5,17.288,115008.42,2020-03-25 18:00:00
1585162800.0,1585162800.0,6652.5,6671.5,6597.5,6622,10.834,71742.748,2020-03-25 19:00:00
1585166400.0,1585166400.0,6622,6638,6573,6590,20.314,133869.26,2020-03-25 20:00:00
1585170000.0,1585170000.0,6590,6602,6556,6588,9.025,59456.7,2020-03-25 21:00:00
1585173600.0,1585173600.0,6588,6692.5,6588,6681,12.434,83071.554,2020-03-25 22:00:00
1585177200.0,1585177200.0,6681,6698.5,6650,6698.5,3.036,20336.646,2020-03-25 23:00:00
1585180800.0,1585180800.0,6698.5,6767,6698.5,6738.5,27.19,183219.815,2020-03-26 00:00:00
1585184400.0,1585184400.0,6738.5,6738.5,6675,6688,80.82,540524.16,2020-03-26 01:00:00
1585188000.0,1585188000.0,6688,6698,6655,6694,3.376,22598.944,2020-03-26 02:00:00
1585191600.0,1585191600.0,6694,6742,6667.5,6726.5,258.723,1740300.2595,2020-03-26 03:00:00
