index,start_at,open,high,low,close,volume,turnover,date
1585123200.0,1585123200.0,6500,6628.5,6457.5,6511.5,438.877,2857747.5855,2020-03-25 08:00:00
1585137600.0,1585137600.0,6511.5,6745.5,6502,6615,1258.004,8321696.46,2020-03-25 12:00:00
1585152000.0,1585152000.0,6615,6695.5,6592.5,6622,67.83,449170.26,2020-03-25 16:00:00
1585166400.0,1585166400.0,6622,6698.5,6556,6698.5,44.809,300153.0865,2020-03-25 20:00:00
1585180800.0,1585180800.0,6698.5,6767,6655,6726.5,370.109,2489538.1885,2020-03-26 00:00:00
1585195200.0,1585195200.0,6726.5,6751,6555,6582,744.421,4899779.022,2020-03-26 04:00:00
1585209600.0,1585209600.0,6582,6665,6566,6598.5,639.745,4221357.3825,2020-03-26 08:00:00
1585224000.0,1585224000.0,6598.5,6675.5,6512,6611,691.091,4568802.601,2020-03-26 12:00:00
1585238400.0,1585238400.0,6611,6675,6594,6656,786.552,5235290.112,2020-03-26 16:00:00
1585252800.0,1585252800.0,6656,6760,6655,6733.5,673.046,4531955.241,2020-03-26 20:00:00
1585267200.0,1585267200.0,6733.5,6838,6733.5,6789.5,665.043,4515309.4485,2020-03-27 00:00:00
1585281600.0,1585281600.0,6789.5,6821.5,6616.5,6702,1029.653,6900734.406,2020-03-27 04:00:00
1585296000.0,1585296000.0,6702,6702,6595,6617.5,671.37,4442790.975,2020-03-27 08:00:00
1585310400.0,1585310400.0,6617.5,6659,6573,6621,787.742,5215639.782,2020-03-27 12:00:00
1585324800.0,1585324800.0,6621,6680,6591.5,6655.5,711.521,4735528.0155,2020-03-27 16:00:00
1585339200.0,1585339200.0,6655.5,6676,6235,6354,740.018,4702074.372,2020-03-27 20:00:00
1585353600.0,1585353600.0,6354,6354,6084.5,6118,911.708,5577829.544,2020-03-28 00:00:00
1585368000.0,1585368000.0,6118,6193,6090.5,6177.5,771.552,4766262.48,2020-03-28 04:00:00
1585382400.0,1585382400.0,6177.5,6300,6162,6231,943.495,5878917.345,2020-03-28 08:00:00
1585396800.0,1585396800.0,6231,6268,6149,6208.5,645.824,4009598.304,2020-03-28 12:00:00
1585411200.0,1585411200.0,6208.5,6235.5,6010,6212.5,1630.919,10132084.2875,2020-03-28 16:00:00
1585425600.0,1585425600.0,6212.5,6288.5,6172.5,6230.5,847.461,5280105.7605,2020-03-28 20:00:00
1585440000.0,1585440000.0,6230.5,6247,6184,6197,541.993,3358730.621,2020-03-29 00:00:00
1585454400.0,1585454400.0,6197,6202.5,6107.5,6146.5,731.886,4498537.299,2020-03-29 04:00:00
1585468800.0,1585468800.0,6146.5,6204.5,6075,6134.5,826.964,5073010.658,2020-03-29 08:00:00
