,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
0,1,133,1686027600000.0,25779.2,25799.7,25739.1,25756.0,1898.537,48912141.3775,2023-06-06 05:00:00,0.0001,-0.000535,62759.151,31.82,26421.38,25522.61,25972.0,26870.76,25073.23,27320.14,24623.85,-283.53,-313.72,30.18,14.17,36.82,52.27,44.59,7939.692428571428,-3241.35,216.0,-189.65,2.42,25708.77,25752.69,1114.7599999999984,-682.7700000000004,-3.3100000000013097,-47.22999999999956,-38.18,1.8200000000000005,-22.65,30.19000000000005,1797.5299999999988,,,25525.5,0.0,0.0,0.0,0.0,0.0,0.0,0,14504.166
1,2,134,1686031200000.0,25756.0,25799.9,25740.0,25755.9,1609.247,41454754.7121,2023-06-06 06:00:00,0.0001,-0.000456,62832.888,31.82,26369.95,25532.88,25951.41,26788.49,25114.34,27207.03,24695.8,-266.58,-304.29,37.71,13.77,35.77,51.71,45.94,4080.8668571428575,-3858.82,195.5099999999984,-204.93,0.83,25720.68,25754.3,1032.59,-641.5600000000013,-1.6000000000021828,-35.220000000001164,-38.18,1.8200000000000005,-22.000000000000004,37.71000000000004,1674.1500000000017,,,25525.5,0.0,0.0,0.0,0.0,0.0,0.0,0,14504.166
2,3,135,1686034800000.0,25755.9,25796.9,25687.0,25708.9,2429.354,62552228.4305,2023-06-06 07:00:00,0.0001,-0.000518,62585.316,30.24,26301.24,25555.4,25928.32,26674.16,25182.47,27047.08,24809.55,-254.01,-294.23,40.22,13.04,36.44,51.39,47.32,3550.5673571428574,-530.29,219.41999999999825,-264.72,-1.79,25721.53,25731.6,965.2599999999984,-526.4300000000003,22.69999999999709,12.62999999999738,-39.760000000000005,0.2399999999999984,-23.4,40.22000000000003,1491.6899999999987,,,25525.5,0.0,0.0,0.0,0.0,0.0,0.0,0,14504.166
3,4,136,1686038400000.0,25708.9,25730.0,25664.0,25694.2,2088.993,53675258.4144,2023-06-06 08:00:00,4.867e-05,-0.000338,62533.987,29.74,26229.53,25582.51,25906.02,26553.03,25259.01,26876.54,24935.5,-242.44,-283.87,41.43,12.6,36.38,51.19,48.7,3177.4726428571425,-373.09,211.8199999999997,-312.0,-1.11,25718.97,25712.9,858.8299999999981,-435.1900000000023,18.700000000000728,24.77000000000044,-40.260000000000005,-0.2600000000000015,-23.78,41.43000000000001,1294.0200000000004,,,25525.5,0.0,0.0,0.0,0.0,0.0,0.0,0,14504.166
4,5,137,1686042000000.0,25694.2,25775.0,25683.4,25741.2,1270.537,32686485.0157,2023-06-06 09:00:00,4.867e-05,-0.000544,63248.857,33.51,26139.45,25641.2,25890.32,26388.57,25392.08,26637.69,25142.95,-226.86,-272.47,45.61,14.34,34.65,50.49,49.57,2453.057928571429,-724.41,149.11999999999898,-418.66,3.03,25725.74,25727.05,647.369999999999,-349.119999999999,-14.150000000001455,-15.459999999999129,-36.49,3.509999999999998,-20.31,45.610000000000014,996.489999999998,,,25525.5,0.0,0.0,0.0,0.0,0.0,0.0,0,14504.166
5,6,138,1686045600000.0,25741.2,25780.0,25727.6,25731.1,1272.906,32785779.9605,2023-06-06 10:00:00,4.867e-05,-0.000479,63286.678,33.09,25960.66,25789.66,25875.16,26046.16,25704.16,26131.66,25618.65,-212.87,-260.55,47.67,14.2,33.67,49.79,50.38,2342.8143571428577,-110.24,144.0600000000013,-818.94,2.57,25737.27,25729.07,315.0600000000013,-26.93999999999869,-2.029999999998836,6.170000000001892,-36.91,3.0900000000000034,-19.47,47.68000000000001,342.0,,,26659.9,0.0,0.0,0.0,0.0,0.0,0.0,0,7169.641
6,7,139,1686049200000.0,25731.1,25739.3,25628.0,25674.8,2575.519,66142303.5478,2023-06-06 11:00:00,4.867e-05,-0.000501,63358.034,30.83,25916.03,25796.12,25856.08,25975.99,25736.16,26035.95,25676.2,-203.98,-249.24,45.25,13.33,37.08,49.6,50.92,2191.3672142857145,-151.44,181.28000000000247,-444.57,-4.41,25728.93,25701.93,301.1900000000023,61.36000000000058,27.13000000000102,54.13000000000102,-39.17,0.8299999999999983,-23.75,45.26000000000002,239.83000000000172,EnterPreparationState,lower,26659.9,0.0,0.0,0.0,0.0,0.0,0.0,0,7169.641
7,8,140,1686052800000.0,25674.8,25733.9,25324.2,25525.5,24740.493,631770807.862,2023-06-06 12:00:00,4.867e-05,-0.000477,63720.11,25.79,25891.41,25757.77,25824.59,25958.23,25690.95,26025.05,25624.13,-206.6,-240.71,34.1,10.73,44.31,50.41,51.56,3701.3515,1509.98,299.09000000000015,-42.72,-10.7,25707.42,25613.71,432.7299999999996,165.45000000000073,88.20999999999913,181.91999999999825,-44.21,-4.210000000000001,-33.58,34.110000000000014,267.27999999999884,PositionState,lower,26659.9,26014.3,0.0,-488.7999999999993,0.0,-488.7999999999993,-229.09999999999977,0,7169.641
8,90,222,1686348000000.0,26463.2,26486.3,26448.3,26482.0,821.777,21747514.5161,2023-06-09 22:00:00,3.707e-05,-0.000418,58220.696,48.18,26577.18,26421.7,26499.44,26654.91,26343.97,26732.65,26266.23,-14.37,-1.39,-12.98,19.06,19.92,8.94,10.41,3280.548714285714,-353.22,17.43999999999869,-7.04,1.11,26469.57,26466.22,172.90999999999983,-138.02999999999884,-15.779999999998836,-12.430000000000293,-21.82,18.18,-0.860000000000003,-12.98,310.9399999999987,,,25515.5,0.0,0.0,0.0,0.0,0.0,0.0,0,7047.506
9,91,223,1686351600000.0,26482.0,26482.0,26440.0,26466.9,673.716,17824633.2237,2023-06-09 23:00:00,3.707e-05,-0.0004,58193.505,46.9,26574.06,26418.62,26496.34,26651.78,26340.9,26729.5,26263.18,-14.97,-4.1,-10.86,18.52,19.91,8.56,10.39,3047.657714285714,-232.89,29.43999999999869,-4.17,-1.0,26457.56,26466.56,184.87999999999735,-126.0,-0.3400000000001455,-9.340000000000146,-23.1,16.9,-1.3900000000000006,-10.87,310.8799999999974,,,25515.5,0.0,0.0,0.0,0.0,0.0,0.0,0,7047.506
10,92,224,1686355200000.0,26466.9,26476.0,26442.3,26448.5,680.848,18015028.9321,2023-06-10 00:00:00,8.18e-05,-0.000316,58128.855,45.33,26570.44,26413.12,26491.78,26649.1,26334.47,26727.76,26255.81,-16.73,-6.63,-10.09,18.08,19.44,8.2,10.15,2908.0157142857142,-139.64,43.27999999999884,0.61,-0.51,26455.26,26457.53,200.59999999999852,-114.02999999999884,9.029999999998836,6.759999999998399,-24.67,15.329999999999998,-1.360000000000003,-10.1,314.6299999999974,,,25515.5,0.0,0.0,0.0,0.0,0.0,0.0,0,7047.506
11,93,225,1686358800000.0,26448.5,26527.7,26305.0,26383.1,4127.503,109010421.3851,2023-06-10 01:00:00,8.18e-05,-0.000493,58255.855,40.18,26565.29,26397.57,26481.43,26649.15,26313.71,26733.01,26229.85,-23.13,-9.93,-13.2,15.45,25.57,9.38,10.94,3047.484928571429,139.46,98.33000000000176,18.13,-9.19,26445.68,26420.31,266.0500000000029,-69.38999999999942,37.210000000002765,62.58000000000175,-29.82,10.18,-10.12,-13.2,335.4400000000023,,,25515.5,0.0,0.0,0.0,0.0,0.0,0.0,0,7047.506
12,94,226,1686362400000.0,26383.1,26422.9,26270.2,26314.9,5399.087,142232634.8521,2023-06-10 02:00:00,8.18e-05,-0.000451,57349.1,35.63,26559.66,26371.48,26465.57,26653.75,26277.39,26747.84,26183.3,-33.33,-14.61,-18.72,13.96,25.3,10.77,12.08,3204.7945714285715,157.3,150.66999999999825,40.97,-3.84,26426.99,26367.6,338.84999999999854,-37.51000000000204,52.69999999999709,112.09000000000016,-34.37,5.630000000000003,-11.34,-18.72,376.3600000000006,,,25515.5,0.0,0.0,0.0,0.0,0.0,0.0,0,7047.506
13,95,227,1686366000000.0,26314.9,26351.9,26241.6,26311.0,4003.899,105335851.3425,2023-06-10 03:00:00,8.18e-05,-0.000466,58048.716,35.38,26553.83,26347.87,26450.85,26656.82,26244.88,26759.8,26141.9,-41.25,-19.94,-21.31,12.98,25.34,12.31,12.78,3030.9772857142857,-173.81,139.84999999999854,40.17,-2.5,26412.11,26339.3,345.8199999999997,-66.11999999999898,28.299999999999272,101.11000000000058,-34.62,5.380000000000003,-12.36,-21.31,411.9399999999987,,,25515.5,0.0,0.0,0.0,0.0,0.0,0.0,0,7047.506
14,96,228,1686369600000.0,26311.0,26339.1,25700.3,25755.4,28624.272,742327414.5454,2023-06-10 04:00:00,8.18e-05,-0.000276,58617.583,17.16,26572.23,26197.0,26384.62,26759.85,26009.38,26947.47,25821.77,-91.31,-34.21,-57.09,9.03,43.4,16.11,14.25,4571.178857142857,1540.2,629.2199999999975,341.59,-22.99,26340.83,26047.35,1004.4499999999972,253.9799999999996,291.9499999999971,585.4300000000003,-52.84,-12.84,-34.37,-57.1,750.4699999999975,EnterPreparationState,lower,25515.5,0.0,0.0,0.0,0.0,0.0,0.0,0,7047.506
15,97,229,1686373200000.0,25755.4,25797.4,25450.0,25515.5,20514.414,525252637.3489,2023-06-10 05:00:00,8.18e-05,-0.000254,57924.497,13.84,26574.75,26028.94,26301.84,26847.66,25756.03,27120.56,25483.12,-148.62,-57.09,-91.52,7.67,47.73,20.12,15.84,5696.972357142858,1125.79,786.3400000000001,444.19,-9.63,26237.83,25781.42,1332.16,240.52999999999884,265.91999999999825,722.3300000000017,-56.16,-16.16,-40.06,-91.53,1091.630000000001,PositionState,lower,25515.5,26008.3,0.0,-492.7999999999993,0.0,-492.7999999999993,-140.14615384615368,0,7047.506
16,173,305,1686646800000.0,26159.7,26193.7,26093.6,26139.9,3304.677,86365671.46259998,2023-06-13 09:00:00,5.611e-05,-0.000469,59557.787,63.8,26115.72,25875.26,25995.49,26235.96,25755.03,26356.19,25634.8,68.13,47.08,21.04,27.12,11.74,18.41,15.92,3435.969071428572,137.34,-144.40999999999983,55.09,5.69,26074.16,26124.64,96.05999999999769,-384.8700000000026,-15.260000000002035,-65.7400000000016,-6.200000000000003,33.8,15.38,21.05,480.9300000000003,PositionState,upper,25852.4,26019.5,90.0,0.0,0.0,0.0,0.0,0,1987.588
17,174,306,1686650400000.0,26139.9,26159.0,26101.6,26146.4,1826.592,47728194.9489,2023-06-13 10:00:00,5.611e-05,-0.000405,59810.281,64.18,26134.1,25885.62,26009.86,26258.34,25761.39,26382.58,25637.15,71.46,51.96,19.5,26.23,11.35,19.92,16.29,3469.8284285714285,33.85,-136.54000000000087,37.4,-2.08,26094.44,26135.52,111.93999999999868,-385.0100000000021,-10.88000000000102,-51.960000000002765,-5.819999999999993,34.18000000000001,14.88,19.499999999999996,496.9500000000007,PositionState,upper,25852.4,26019.5,96.5,0.0,0.0,0.0,0.0,0,1987.588
18,175,307,1686654000000.0,26146.4,26200.3,26077.0,26175.1,5906.008,154383649.5369,2023-06-13 11:00:00,5.611e-05,-0.000636,60042.29,65.87,26152.49,25898.71,26025.6,26279.38,25771.82,26406.26,25644.94,75.56,56.68,18.88,26.74,10.55,21.6,16.72,3695.9195,226.09,-149.5,32.99,0.41,26100.8,26155.31,104.28000000000247,-403.2799999999989,-19.789999999997235,-74.29999999999927,-4.129999999999996,35.870000000000005,16.189999999999998,18.880000000000003,507.5600000000013,PositionState,upper,25852.4,26019.5,125.19999999999708,0.0,0.0,0.0,0.0,0,1987.588
19,176,308,1686657600000.0,26175.1,26420.0,25891.4,26070.6,31008.171,812127758.7813998,2023-06-13 12:00:00,5.611e-05,-0.000472,59035.67,55.55,26151.56,25908.21,26029.89,26273.24,25786.54,26394.91,25664.86,69.56,59.25,10.31,30.39,7.95,24.23,17.7,5759.868,2063.94,-40.70999999999913,0.18,6.76,26103.1,26112.95,202.64000000000303,-284.0599999999977,42.35000000000218,32.5,-14.450000000000005,25.55,22.44,10.310000000000002,486.7000000000007,PositionState,upper,25852.4,26019.5,20.69999999999709,0.0,0.0,0.0,0.0,0,1987.588
20,177,309,1686661200000.0,26070.6,26133.0,25987.6,26019.5,7697.08,200613647.5299,2023-06-13 13:00:00,5.611e-05,-0.000723,59706.461,51.32,26141.25,25916.55,26028.9,26253.6,25804.2,26365.95,25691.85,60.0,59.4,0.59,28.33,7.41,26.68,18.92,6222.890714285714,463.02,9.400000000001455,-43.44,2.12,26100.48,26066.22,234.09999999999852,-215.29999999999927,46.72000000000117,80.97999999999956,-18.68,21.32,20.92,0.6000000000000014,449.3999999999978,IdleState,upper,25852.4,26019.5,-30.40000000000145,0.0,0.0,0.0,0.0,0,1987.588
21,178,310,1686664800000.0,26019.5,26035.0,25897.9,25973.7,6677.379,173391821.8586,2023-06-13 14:00:00,5.611e-05,-0.000435,60719.305,47.8,26129.26,25918.02,26023.64,26234.88,25812.4,26340.5,25706.78,48.17,57.16,-8.98,26.49,11.16,27.69,19.5,6281.438071428572,58.54,49.93999999999869,-46.56,-7.65,26090.16,26019.96,261.1800000000003,-161.29999999999927,46.2599999999984,116.45999999999913,-22.200000000000003,17.799999999999997,15.329999999999998,-8.989999999999995,422.4799999999996,,,25852.4,0.0,0.0,0.0,0.0,0.0,0.0,0,1987.588
22,179,311,1686668400000.0,25973.7,25973.9,25708.1,25748.1,12196.424,314791543.421,2023-06-13 15:00:00,5.611e-05,-0.000453,61068.557,35.05,26109.81,25884.98,25997.4,26222.23,25772.57,26334.64,25660.15,20.35,49.79,-29.44,23.34,18.32,26.57,19.47,6902.717928571429,621.27,249.3000000000029,8.46,-12.14,26054.44,25884.03,474.130000000001,24.470000000001164,135.9300000000003,306.34000000000015,-34.95,5.049999999999997,5.02,-29.44,449.6599999999999,EnterPreparationState,lower,25852.4,0.0,0.0,0.0,0.0,0.0,0.0,0,1987.588
23,180,312,1686672000000.0,25748.1,25866.0,25724.9,25852.4,3905.417,100789431.0924,2023-06-13 16:00:00,8.05e-06,-0.000405,60936.42,42.66,26097.94,25869.23,25983.59,26212.29,25754.88,26326.65,25640.53,6.65,41.17,-34.51,21.86,17.15,25.53,19.44,6659.498285714287,-243.21,131.1899999999987,-4.9,-3.45,26031.71,25868.21,359.8899999999994,-97.52000000000044,15.809999999997672,179.30999999999767,-27.340000000000003,12.659999999999997,4.710000000000001,-34.52,457.4099999999999,PositionState,lower,25852.4,25920.5,0.0,-68.09999999999854,43.10000000000218,-68.09999999999854,-2.562499999998181,0,1987.588
24,202,334,1686751200000.0,25974.9,26011.7,25951.2,25984.4,2260.38,58731635.3467,2023-06-14 14:00:00,2.453e-05,-0.000655,62255.203,53.51,26012.62,25884.45,25948.53,26076.7,25820.36,26140.79,25756.27,8.73,0.02,8.7,22.81,16.4,18.09,20.89,2146.096357142857,-85.03,-35.87000000000262,-3.42,-2.21,25947.27,25981.01,92.29999999999929,-164.04000000000087,-3.390000000003056,-37.13000000000102,-16.490000000000002,23.51,6.41,8.71,256.34000000000015,,,25105.5,0.0,0.0,0.0,0.0,0.0,0.0,0,5498.915
25,203,335,1686754800000.0,25984.4,26005.0,25928.7,25975.4,1419.134,36845764.1884,2023-06-14 15:00:00,2.453e-05,-0.000385,62342.306,52.64,26015.13,25887.06,25951.09,26079.16,25823.02,26143.2,25758.99,9.7,1.96,7.74,21.52,17.14,17.61,21.03,2115.9052857142856,-30.19,-24.31000000000131,3.97,-3.09,25957.91,25978.2,103.7599999999984,-152.38000000000102,2.7999999999992724,-17.4900000000016,-17.36,22.64,4.379999999999999,7.739999999999999,256.1399999999994,,,25105.5,0.0,0.0,0.0,0.0,0.0,0.0,0,5498.915
26,204,336,1686758400000.0,25975.4,25999.9,25953.0,25953.6,1335.513,34681370.5901,2023-06-14 16:00:00,-1.58e-05,-0.000347,62299.001,50.5,26010.47,25892.19,25951.33,26069.61,25833.05,26128.75,25773.91,8.61,3.29,5.32,20.74,16.53,17.16,20.77,2124.8535,8.94,-2.2699999999967986,-17.11,-1.46,25965.57,25965.9,116.01000000000204,-120.54999999999929,12.30000000000291,11.970000000001164,-19.5,20.5,4.209999999999997,5.319999999999999,236.5600000000013,,,25105.5,0.0,0.0,0.0,0.0,0.0,0.0,0,5498.915
27,205,337,1686762000000.0,25953.6,26043.2,25874.9,26018.9,4515.113,117197917.8627,2023-06-14 17:00:00,-1.58e-05,-0.000236,62275.34,56.23,26013.63,25901.9,25957.76,26069.5,25846.03,26125.36,25790.16,12.87,5.21,7.66,18.2,20.18,16.3,20.31,2342.0069285714285,217.15,-61.140000000003056,-22.63,-6.96,25976.85,25992.4,50.59999999999855,-172.87000000000262,-26.5,-42.05000000000291,-13.770000000000003,26.23,-1.9800000000000004,7.659999999999999,223.4700000000012,,,25105.5,0.0,0.0,0.0,0.0,0.0,0.0,0,5498.915
28,206,338,1686765600000.0,26018.9,26098.4,25750.0,25901.5,18621.681,482367841.4845,2023-06-14 18:00:00,-1.58e-05,-0.000624,61476.683,45.94,26002.44,25902.37,25952.41,26052.47,25852.34,26102.5,25802.31,6.7,5.5,1.19,14.3,23.54,16.88,19.77,3591.752785714285,1249.74,50.909999999999854,-23.45,-9.79,25969.43,25946.95,150.97000000000116,-49.159999999999854,45.45000000000073,67.93000000000029,-24.06,15.939999999999998,-9.239999999999998,1.2000000000000002,200.13000000000105,,,25105.5,0.0,0.0,0.0,0.0,0.0,0.0,0,5498.915
29,207,339,1686769200000.0,25901.5,25971.9,25823.8,25858.2,3743.869,96941689.5199,2023-06-14 19:00:00,-1.58e-05,-0.000576,62351.113,42.82,25997.28,25889.59,25943.43,26051.12,25835.75,26104.96,25781.9,-1.66,4.07,-5.74,13.02,21.44,17.42,19.26,3627.187357142857,35.43,85.22999999999956,-1.79,-3.08,25960.07,25902.57,192.91999999999825,-22.450000000000728,44.36999999999898,101.86999999999898,-27.18,12.82,-8.420000000000002,-5.73,215.36999999999895,,,25105.5,0.0,0.0,0.0,0.0,0.0,0.0,0,5498.915
