,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type
953,2021-01-29 12:00:00,37067.5,38632.0,36575.0,37168.5,11873.119,441306023.5515,2021-01-29 12:00:00,0.0001,0.002689,5401.926,69.91,34836.2,31192.32,33014.26,36658.14,29370.38,38480.08,27548.44,731.81,71.08,660.73,35.33,16.02,20.25,19.45,9504.182214285715,551.97,-4154.239999999998,3146.26,12.8,33420.88,35544.69,-510.3600000000006,-7798.119999999999,-1623.8099999999977,-3747.6200000000026,-0.09000000000000341,39.91,19.31,660.7299999999999,7287.759999999998,PositionState,upper,37168.5,33576.0,0.0,-3592.5,0.0,-3908.0,-2943.5,0,-1764.4900000000052,None
977,2021-02-02 12:00:00,34780.0,35272.0,34423.5,34758.5,4358.437,151492732.4645,2021-02-02 12:00:00,0.0001,0.002061,5489.724,58.14,34374.42,33300.03,33837.23,34911.61,32762.84,35448.8,32225.65,287.01,206.98,80.03,24.25,14.71,9.85,10.2,4041.9682857142857,78.0,-921.2699999999968,368.88,5.35,34004.11,34444.98,153.11000000000058,-1995.6599999999999,-313.5199999999968,-754.3899999999994,-11.86,28.14,9.54,80.03,2148.7700000000004,PositionState,upper,34758.5,37951.0,0.0,3192.5,6086.5,0.0,3013.0806451612902,0,4255.629999999997,None
1014,2021-02-08 16:00:00,43749.5,44331.0,42664.0,43136.0,7690.723,331747027.328,2021-02-08 16:00:00,0.00070257,0.00251,9966.472,70.07,41020.58,37892.77,39456.67,42584.48,36328.87,44148.38,34764.97,1129.28,835.2,294.08,40.95,11.49,30.77,34.7,6618.581071428572,213.36,-3679.3300000000017,2231.7,17.75,39746.72,41807.21,-551.5199999999968,-6807.129999999997,-1328.7900000000009,-3389.279999999999,0.06999999999999318,40.06999999999999,29.46,294.0799999999999,6255.610000000001,PositionState,upper,43136.0,47175.5,0.0,4039.5,6001.0,0.0,3802.7179487179487,0,6247.830000000002,None
1059,2021-02-16 04:00:00,49701.0,50223.0,48659.0,49268.0,4824.91,237713665.88,2021-02-16 04:00:00,0.00090023,0.00235,5878.209,60.15,48897.63,47134.89,48016.26,49779.0,46253.52,50660.37,45372.15,708.89,714.92,-6.02,24.44,15.85,16.41,16.98,3522.3355714285717,222.08,-1251.739999999998,542.34,4.03,48272.38,48946.05,511.0,-3014.480000000003,-321.9499999999971,-995.6200000000026,-9.850000000000001,30.15,8.590000000000002,-6.029999999999973,3525.480000000003,PositionState,upper,49268.0,54638.0,0.0,5370.0,8871.5,-613.0,4176.065789473684,0,6942.939999999995,None
1185,2021-03-09 04:00:00,53851.5,54421.5,53471.5,53571.0,3927.786,210415423.806,2021-03-09 04:00:00,0.0007559,0.001046,5302.014,69.33,52446.54,49139.47,50793.0,54100.07,47485.93,55753.61,45832.4,1065.25,697.95,367.29,32.28,11.47,21.85,17.1,3969.7109285714287,76.5,-2778.0,1508.27,6.81,51569.27,52889.4,529.0699999999997,-6085.07,-681.5999999999985,-2001.7300000000032,-0.6700000000000017,39.33,20.810000000000002,367.29999999999995,6614.139999999999,PositionState,upper,53571.0,57926.0,0.0,4355.0,7858.0,0.0,3687.635135135135,0,6288.449999999997,None
1307,2021-03-29 12:00:00,57829.5,58450.0,57268.0,57700.0,4944.567,285301515.9,2021-03-29 12:00:00,0.0001,0.000124,6029.508,63.82,56872.23,54414.87,55643.55,58100.92,53186.18,59329.6,51957.5,654.16,381.61,272.55,28.24,14.3,16.35,19.05,3398.1699285714285,179.35,-2056.449999999997,501.22,10.16,56252.83,57026.41,400.91999999999825,-4513.82,-673.5899999999965,-1447.1699999999983,-6.18,33.82,13.939999999999998,272.54999999999995,4914.739999999998,PositionState,upper,57700.0,58900.0,0.0,1200.0,2245.5,-410.0,1105.967741935484,0,2108.3899999999994,None
1378,2021-04-10 08:00:00,60620.5,61076.5,60590.0,60664.0,1084.673,65800602.872,2021-04-10 08:00:00,0.0001,0.002151,6051.594,71.26,59720.11,57149.58,58434.85,61005.37,55864.32,62290.63,54579.06,514.94,144.53,370.4,35.05,10.99,20.91,22.04,1936.6379285714286,-55.82,-2229.1500000000015,1412.43,13.03,58858.83,59907.23,341.3700000000026,-4799.68,-756.7699999999968,-1805.1699999999983,1.2600000000000051,41.260000000000005,24.059999999999995,370.4100000000001,5141.050000000003,PositionState,upper,60664.0,61547.0,0.0,883.0,3995.5,-994.0,997.7916666666666,0,2567.219999999994,None
1500,2021-04-30 16:00:00,57088.5,57303.0,56330.0,57033.0,2336.682,133267984.506,2021-04-30 16:00:00,0.0001,0.000216,5681.306,67.21,55466.08,53503.86,54484.97,56447.2,52522.75,57428.31,51541.63,635.95,445.64,190.3,30.48,13.81,18.39,19.93,2741.8300714285715,-35.92,-2548.029999999999,1426.15,9.61,54544.27,55965.91,-585.8000000000029,-4510.25,-1067.0899999999965,-2488.730000000003,-2.7900000000000063,37.209999999999994,16.67,190.31000000000006,3924.449999999997,PositionState,upper,57033.0,55496.5,0.0,-1536.5,1767.5,-1536.5,371.7142857142857,0,784.5399999999936,None
1766,2021-06-14 00:00:00,39026.0,39815.0,38772.0,38995.0,11345.684,442424947.58,2021-06-14 00:00:00,-0.0004321,0.000602,9196.651,67.65,37746.14,35413.22,36579.68,38912.6,34246.75,40079.06,33080.29,467.68,150.98,316.69,34.42,15.06,21.04,21.12,11513.512285714285,94.76,-2415.3199999999997,1249.0,9.21,36544.05,38099.74,-82.40000000000146,-4748.25,-895.260000000002,-2450.949999999997,-2.3499999999999943,37.650000000000006,19.36,316.70000000000005,4665.8499999999985,PositionState,upper,38995.0,39086.5,0.0,91.5,1697.5,0.0,911.2333333333333,0,1582.2300000000032,None
2019,2021-07-26 04:00:00,38316.5,39299.0,37863.0,38192.5,20697.335,790482966.9875,2021-07-26 04:00:00,-0.00045135,0.000603,13294.772,84.67,36082.06,32844.74,34463.4,37700.72,31226.08,39319.38,29607.42,1252.83,861.95,390.88,53.65,5.66,49.59,41.23,14700.897500000001,295.12,-3729.0999999999985,2332.94,16.5,35306.0,36968.64,-491.77999999999884,-6966.419999999998,-1223.8600000000006,-2886.5,14.670000000000002,54.67,47.989999999999995,390.8799999999999,6474.639999999999,PositionState,upper,38192.5,38645.5,0.0,453.0,2537.5,-1407.5,916.7307692307693,0,2392.199999999997,None
