,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
14,2023-09-01 14:00:00,25990.4,25990.4,25673.6,25704.6,16364.477,422416681.9057,2023-09-01 14:00:00,1.899e-05,-0.000494,59065.28,24.17,26190.33,26026.65,26108.49,26272.16,25944.81,26354.0,25862.97,-209.67,-232.85,23.18,10.96,36.3,46.81,42.11,3620.1482142857167,947.95,403.89000000000306,-26.31,-7.28,25967.25,25888.44,567.5600000000013,240.21000000000276,183.84000000000015,262.65000000000146,-45.83,-5.829999999999998,-25.339999999999996,23.180000000000007,327.34999999999854,PositionState,lower,25704.6,25814.4,0.0,-109.80000000000291,239.29999999999927,-111.30000000000291,-51.07500000000149,0,83.86999999999898
94,2023-09-04 22:00:00,25664.7,25783.0,25616.3,25762.3,2476.699,63697035.5181,2023-09-04 22:00:00,8.406e-05,-0.000458,58088.909,41.06,25932.14,25779.9,25856.02,26008.27,25703.77,26084.39,25627.65,-35.54,-17.88,-17.65,12.12,29.87,21.74,24.58,3546.1387857142877,98.67,93.72000000000116,32.93,-0.44,25825.31,25772.97,245.97000000000116,-58.529999999998836,10.670000000001892,63.01000000000204,-28.939999999999998,11.060000000000002,-17.75,-17.66,304.5,PositionState,lower,25762.3,25768.2,0.0,-5.900000000001455,104.39999999999782,-49.60000000000218,37.064285714284516,0,30.360000000000582
116,2023-09-05 20:00:00,25666.0,25728.1,25657.4,25700.6,1639.017,42097921.5646,2023-09-05 20:00:00,1.126e-05,-0.000474,60508.883,44.4,25773.93,25701.44,25737.68,25810.18,25665.19,25846.43,25628.94,-26.75,-28.64,1.89,16.65,20.01,16.33,22.25,3059.5578571428596,-3.54,37.080000000001746,-15.22,-1.66,25729.08,25704.77,109.58000000000175,-35.409999999999854,4.170000000001892,28.4800000000032,-25.6,14.399999999999999,-3.360000000000003,1.8900000000000006,144.9900000000016,PositionState,lower,25700.6,25755.6,0.0,-55.0,0.0,-55.0,-26.03333333333406,0,-24.86999999999898
135,2023-09-06 15:00:00,25607.4,25654.1,25532.5,25574.0,3856.939,98739688.1067,2023-09-06 15:00:00,6.42e-06,-0.000552,61327.259,33.67,25768.94,25654.52,25711.73,25826.15,25597.31,25883.36,25540.1,-29.65,-14.58,-15.06,13.32,22.76,12.81,12.9,2219.4262857142876,218.16,137.72999999999956,47.38,-2.37,25693.01,25635.38,252.15000000000146,23.31000000000131,61.38000000000102,119.0099999999984,-36.33,3.6700000000000017,-9.440000000000001,-15.069999999999999,228.84000000000015,PositionState,lower,25574.0,25846.3,0.0,-272.2999999999993,0.0,-272.2999999999993,-95.09999999999975,0,-72.7599999999984
206,2023-09-09 14:00:00,25812.0,25849.5,25812.0,25835.8,646.462,16697034.9485,2023-09-09 14:00:00,4.25e-06,-0.00043,59409.924,44.44,25885.64,25841.68,25863.66,25907.63,25819.69,25929.61,25797.71,-23.42,-23.93,0.51,13.62,25.91,22.08,23.93,663.4382142857164,-10.66,27.860000000000582,-24.11,-0.67,25851.0,25834.89,71.83000000000175,-16.110000000000582,-0.9099999999998545,15.200000000000728,-25.560000000000002,14.439999999999998,-12.290000000000001,0.509999999999998,87.94000000000233,PositionState,lower,25835.8,25880.3,0.0,-44.5,0.0,-44.5,-22.25,0,-18.159999999999854
227,2023-09-10 11:00:00,25793.0,25812.6,25781.3,25784.0,869.592,22434087.1692,2023-09-10 11:00:00,6.603e-05,-0.000405,59258.409,36.41,25866.72,25810.54,25838.63,25894.81,25782.45,25922.9,25754.35,-17.43,-12.19,-5.24,11.25,30.83,25.21,19.92,952.8619285714306,15.5,54.63000000000102,14.44,-1.53,25826.03,25804.0,110.81000000000131,-1.5499999999992724,20.0,42.029999999998836,-33.59,6.409999999999997,-19.58,-5.24,112.36000000000058,PositionState,lower,25784.0,25806.2,0.0,-22.200000000000728,97.09999999999854,-22.200000000000728,15.449999999999637,0,29.020000000000437
242,2023-09-11 02:00:00,25674.6,25731.0,25646.3,25723.2,1200.274,30842367.6798,2023-09-11 02:00:00,7.35e-05,-0.000585,58548.409,42.7,25837.67,25727.44,25782.55,25892.79,25672.32,25947.91,25617.2,-25.28,-19.88,-5.39,10.64,27.9,42.46,35.47,3723.265285714288,39.83,59.349999999998545,1.22,0.01,25775.83,25733.25,169.59000000000015,-50.88000000000102,10.049999999999272,52.63000000000102,-27.299999999999997,12.700000000000003,-17.259999999999998,-5.400000000000002,220.47000000000116,PositionState,lower,25723.2,25882.2,0.0,-159.0,0.0,-159.0,-51.149999999999636,0,-66.45000000000073
252,2023-09-11 12:00:00,25586.0,25710.2,25570.1,25707.4,3351.657,85939220.4245,2023-09-11 12:00:00,2.295e-05,-0.000507,59274.192,45.52,25827.62,25679.39,25753.5,25901.74,25605.27,25975.85,25531.16,-29.91,-19.42,-10.49,11.56,26.98,34.96,38.46,3218.719285714288,-248.36,46.099999999998545,9.44,0.92,25753.73,25690.42,194.34000000000015,-102.13000000000102,-16.9800000000032,46.32999999999811,-24.479999999999997,15.520000000000003,-15.42,-10.489999999999998,296.47000000000116,PositionState,lower,25707.4,25785.6,0.0,-78.19999999999709,699.6000000000022,-78.19999999999709,462.868750000001,0,275.6399999999994
348,2023-09-15 12:00:00,26415.5,26460.5,26320.0,26349.0,7089.726,187148333.3656,2023-09-15 12:00:00,1.452e-05,-0.000463,62545.91,40.95,26596.93,26443.45,26520.19,26673.67,26366.7,26750.41,26289.96,24.54,58.0,-33.45,21.39,21.72,40.76,45.76,2927.172785714288,352.96,171.1899999999987,64.19,-6.14,26550.01,26458.88,324.66999999999825,17.700000000000728,109.88000000000102,201.0099999999984,-29.049999999999997,10.950000000000003,-0.3299999999999983,-33.46,306.9699999999975,PositionState,lower,26349.0,26449.9,0.0,-100.90000000000146,126.59999999999854,-100.90000000000146,0.6599999999994907,0,56.10000000000218
385,2023-09-17 01:00:00,26456.5,26506.6,26405.6,26484.9,2772.809,73342713.922,2023-09-17 01:00:00,7.234e-05,-0.000378,59167.357,46.76,26549.52,26488.1,26518.81,26580.24,26457.39,26610.95,26426.67,0.94,7.75,-6.81,18.44,24.4,21.29,24.72,1409.1957857142877,81.86,33.909999999999854,2.53,-2.62,26528.14,26499.83,95.34000000000015,-27.510000000002037,14.930000000000291,43.23999999999796,-23.240000000000002,16.759999999999998,-5.959999999999997,-6.8100000000000005,122.85000000000218,PositionState,lower,26484.9,26541.1,0.0,-56.19999999999709,0.0,-56.19999999999709,-23.274999999998727,0,-18.959999999999127
