,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
15,145,1686070800000.0,26358.8,26767.0,26275.8,26659.9,32304.599,857645450.0787998,2023-06-06 17:00:00,0.0001,-0.000396,62788.129,71.28,26235.32,25714.88,25975.1,26495.53,25454.66,26755.75,25194.45,1.14,-135.33,136.48,35.42,20.91,41.77,47.32,10116.256428571429,2233.95,-684.8000000000029,503.75,18.23,25942.73,26406.72,-164.37000000000262,-1205.2400000000016,-253.1800000000003,-717.1700000000019,1.2800000000000011,41.28,14.510000000000002,136.47,1040.869999999999,PositionState,upper,26659.9,26475.8,0.0,-184.10000000000218,557.0,-184.10000000000218,254.28235294117493,0,241.11000000000058
62,192,1686240000000.0,26703.1,26718.0,26393.0,26485.3,9058.092,240509153.4722,2023-06-08 16:00:00,6.353e-05,-0.000535,57796.081,50.56,26587.26,26357.2,26472.23,26702.28,26242.17,26817.31,26127.15,14.26,-13.8,28.06,23.81,21.59,18.64,21.68,4916.036285714285,515.2,-13.069999999999709,70.23,-4.95,26483.69,26548.95,216.97999999999956,-243.13000000000102,63.650000000001455,-1.610000000000582,-19.439999999999998,20.560000000000002,2.219999999999999,28.060000000000002,460.1100000000006,PositionState,upper,26485.3,26485.1,0.0,-0.2000000000007276,138.79999999999927,-13.0,42.92500000000018,0,-32.22999999999956
136,266,1686506400000.0,25933.3,26039.9,25917.7,25964.7,2908.805,75563475.7733,2023-06-11 18:00:00,0.0001,-0.000388,57049.854,59.48,25872.12,25730.21,25801.17,25943.08,25659.25,26014.04,25588.29,3.78,-31.11,34.9,28.25,13.54,16.31,19.43,2429.9104285714284,-139.2,-163.53000000000247,84.53,2.13,25803.09,25914.84,-21.61999999999898,-305.4500000000007,-49.86000000000058,-161.61000000000058,-10.520000000000003,29.479999999999997,14.71,34.89,283.83000000000175,PositionState,upper,25964.7,25766.0,0.0,-198.70000000000073,150.20000000000073,-198.70000000000073,-12.355555555556041,0,-63.68000000000029
169,299,1686625200000.0,26117.9,26140.0,26033.9,26049.9,4200.509,109619688.898,2023-06-13 03:00:00,0.0001,-0.000457,56476.561,60.06,25997.43,25828.74,25913.08,26081.77,25744.4,26166.11,25660.06,38.15,15.11,23.04,22.26,13.04,13.35,13.96,3954.618428571429,-47.41,-136.8199999999997,76.84,2.74,25935.34,26034.69,31.86999999999898,-305.5,-15.210000000002765,-114.56000000000131,-9.939999999999998,30.060000000000002,9.220000000000002,23.04,337.369999999999,PositionState,upper,26049.9,26019.5,0.0,-30.400000000001455,125.19999999999709,-30.400000000001455,40.763636363634845,0,31.530000000002474
233,363,1686855600000.0,25383.2,25522.3,25337.1,25442.9,13076.711,332492367.1043,2023-06-15 19:00:00,0.0001,-0.000526,63332.477,59.95,25305.82,25027.35,25166.58,25445.06,24888.11,25584.29,24748.87,-72.19,-152.98,80.79,27.16,20.84,45.86,45.74,5210.236214285715,675.09,-276.3199999999997,222.26,14.43,25099.76,25331.92,2.1599999999998545,-554.7900000000009,-110.9800000000032,-343.14000000000306,-10.049999999999997,29.950000000000003,6.32,80.78999999999999,556.9500000000007,PositionState,upper,25442.9,25462.7,0.0,19.799999999999272,181.0,0.0,95.62941176470464,0,177.77000000000044
253,383,1686927600000.0,25610.0,25885.0,25550.0,25834.0,20237.224,519855154.1509,2023-06-16 15:00:00,0.0001,-0.000327,62289.969,67.28,25594.16,25444.79,25519.48,25668.84,25370.11,25743.52,25295.43,79.07,64.15,14.92,19.11,23.97,16.97,23.22,5445.374000000001,1291.94,-314.52000000000044,110.67,3.99,25570.77,25696.24,-165.15999999999985,-463.8899999999994,-137.7599999999984,-263.22999999999956,-2.719999999999999,37.28,-4.859999999999999,14.919999999999987,298.72999999999956,PositionState,upper,25834.0,26442.5,0.0,608.5,849.2000000000007,0.0,577.8382352941177,0,784.7999999999993
303,433,1687107600000.0,26604.3,26643.0,26552.9,26618.1,1913.499,50900637.1306,2023-06-18 17:00:00,4.409e-05,-0.00053,62873.373,61.73,26563.42,26475.95,26519.69,26607.16,26432.21,26650.89,26388.48,44.93,45.65,-0.71,24.38,15.82,10.97,12.0,2197.114642857143,43.11,-98.40999999999985,46.08,4.41,26533.1,26592.62,-10.93999999999869,-185.88999999999942,-25.479999999999563,-85.0,-8.270000000000003,31.729999999999997,8.559999999999999,-0.7199999999999989,174.95000000000073,PositionState,upper,26618.1,26464.1,0.0,-154.0,23.100000000002183,-154.0,-34.19999999999891,0,-49.669999999998254
328,458,1687197600000.0,26657.2,27063.8,26441.5,26487.3,34710.05,929773508.6135001,2023-06-19 18:00:00,9.362e-05,0.0,65470.319,51.35,26540.62,26401.7,26471.16,26610.08,26332.24,26679.54,26262.78,14.69,0.0,14.69,36.53,13.48,19.77,19.34,5972.97992857143,2383.88,-16.139999999999418,63.52,22.47,26480.36,26524.84,122.78000000000247,-155.05999999999767,37.54000000000087,-6.93999999999869,-18.65,21.35,23.05,14.69,277.84000000000015,PositionState,upper,26487.3,26763.6,0.0,276.2999999999993,485.40000000000146,0.0,310.39047619047693,0,265.8199999999997
350,480,1687276800000.0,27054.6,27381.3,26987.0,27363.8,28553.2,776623507.4134998,2023-06-20 16:00:00,4.621e-05,-0.000763,67584.65399999,73.21,26989.36,26708.08,26848.72,27130.01,26567.44,27270.65,26426.8,111.29,82.64,28.65,37.83,12.89,35.24,34.75,6504.532714285714,1830.98,-515.0799999999981,261.68,15.66,26888.17,27143.21,-233.79000000000087,-796.3600000000006,-220.59000000000015,-475.630000000001,3.2099999999999937,43.209999999999994,24.939999999999998,28.650000000000006,562.5699999999997,PositionState,upper,27363.8,29917.0,0.0,2553.2000000000007,3101.7000000000007,0.0,1942.0795454545462,0,2884.920000000002
421,551,1687532400000.0,30270.8,31444.0,30230.6,31228.8,68096.638,2101997601.6877,2023-06-23 15:00:00,0.0001,0.000127,65056.364,78.73,30443.23,29891.5,30167.36,30719.09,29615.63,30994.96,29339.77,149.9,75.03,74.86,43.51,10.44,17.69,21.31,9099.94542857143,4744.33,-1061.4399999999987,761.5,29.44,30214.16,30702.81,-509.7099999999991,-1613.1699999999983,-525.989999999998,-1014.6399999999994,8.730000000000004,48.730000000000004,33.07,74.87,1103.4599999999991,PositionState,upper,31228.8,30472.5,0.0,-756.2999999999993,4.400000000001455,-756.2999999999993,-360.3899999999994,0,-120.94000000000233
