,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
10,140,1686052800000.0,25674.8,25733.9,25324.2,25525.5,24740.493,631770807.862,2023-06-06 12:00:00,4.867e-05,-0.000477,63720.11,25.79,25891.41,25757.77,25824.59,25958.23,25690.95,26025.05,25624.13,-206.6,-240.71,34.1,10.73,44.31,50.41,51.56,3701.3515,1509.98,299.09000000000015,-42.72,-10.7,25707.42,25613.68,432.72999999999956,165.45000000000073,88.18000000000029,181.91999999999825,-44.21,-4.210000000000001,-33.58,34.110000000000014,267.27999999999884,PositionState,lower,25525.5,26014.3,0.0,-488.7999999999993,0.0,-488.7999999999993,-229.09999999999977,0,-227.88999999999942
99,229,1686373200000.0,25755.4,25797.4,25450.0,25515.5,20514.414,525252637.3489,2023-06-10 05:00:00,8.18e-05,-0.000254,57924.497,13.84,26574.75,26028.94,26301.84,26847.66,25756.03,27120.56,25483.12,-148.62,-57.09,-91.52,7.67,47.73,20.12,15.84,5696.972357142858,1125.79,786.3400000000001,444.19,-9.63,26237.83,25781.42,1332.1599999999999,240.52999999999884,265.91999999999825,722.3300000000017,-56.16,-16.16,-40.059999999999995,-91.53,1091.630000000001,PositionState,lower,25515.5,26008.3,0.0,-492.7999999999993,0.0,-492.7999999999993,-140.14615384615368,0,-26.31000000000131
182,312,1686672000000.0,25748.1,25866.0,25724.9,25852.4,3905.417,100789431.0924,2023-06-13 16:00:00,8.05e-06,-0.000405,60936.42,42.66,26097.94,25869.23,25983.59,26212.29,25754.88,26326.65,25640.53,6.65,41.17,-34.51,21.86,17.15,25.53,19.44,6659.498285714287,-243.21,131.1899999999987,-4.9,-3.45,26031.71,25868.21,359.8899999999994,-97.52000000000044,15.809999999997672,179.30999999999767,-27.340000000000003,12.659999999999997,4.710000000000001,-34.52,457.40999999999985,PositionState,lower,25852.4,25920.5,0.0,-68.09999999999854,43.10000000000218,-68.09999999999854,-2.562499999998181,0,-10.080000000001746
211,341,1686776400000.0,24924.0,25173.0,24813.4,25105.5,11947.977,299247046.6372,2023-06-14 21:00:00,-1.58e-05,-0.000563,57881.826,26.08,26060.87,25490.7,25775.79,26345.95,25205.62,26631.04,24920.54,-130.81,-36.79,-94.02,6.65,45.63,25.28,21.92,8346.568642857143,744.85,670.2900000000009,475.71,0.35,25744.04,25259.39,1240.4500000000007,100.11999999999898,153.88999999999942,638.5400000000009,-43.92,-3.9200000000000017,-38.980000000000004,-94.02000000000001,1140.3300000000017,PositionState,lower,25105.5,25134.4,0.0,-28.900000000001455,193.59999999999854,-88.59999999999854,84.80952380952381,0,200.70000000000073
308,438,1687125600000.0,26400.0,26448.4,26363.9,26384.2,2351.893,62117993.7826,2023-06-18 22:00:00,4.409e-05,-0.000481,62873.501,41.19,26571.63,26441.58,26506.61,26636.66,26376.56,26701.68,26311.54,10.88,35.05,-24.16,16.27,25.09,14.1,12.63,2538.790142857143,7.29,122.40999999999985,26.62,-1.71,26533.92,26427.83,252.45999999999913,-7.639999999999418,43.63000000000102,149.71999999999753,-28.810000000000002,11.189999999999998,-8.82,-24.169999999999995,260.09999999999854,PositionState,lower,26384.2,26517.7,0.0,-133.5,50.70000000000073,-133.5,-27.219999999998983,0,-34.87999999999738
446,576,1687622400000.0,30397.5,30509.1,30248.1,30504.1,6959.561,211447157.1934,2023-06-24 16:00:00,0.0001,-0.00019,65319.684,47.57,30689.82,30510.66,30600.24,30779.4,30421.08,30868.98,30331.5,31.86,75.52,-43.65,15.48,25.99,12.21,15.19,3453.533214285714,49.1,96.14000000000306,-50.88,-3.54,30615.16,30519.89,275.3000000000029,-83.0199999999968,15.790000000000873,111.06000000000131,-22.43,17.57,-10.509999999999998,-43.66,358.3199999999997,PositionState,lower,30504.1,30629.6,0.0,-125.5,0.0,-125.5,-65.40000000000025,0,-68.58000000000175
480,610,1687744800000.0,30165.7,30228.7,30097.8,30216.4,3057.904,92241309.2652,2023-06-26 02:00:00,0.0001,-0.000231,62220.047,34.32,30625.3,30312.4,30468.85,30781.75,30155.95,30938.2,29999.5,-90.03,-52.53,-37.5,13.5,29.86,15.54,13.14,4772.423714285715,44.73,252.4499999999971,-9.36,-2.32,30377.06,30255.31,565.3499999999985,-60.45000000000073,38.909999999999854,160.65999999999985,-35.68,4.32,-16.36,-37.5,625.7999999999993,PositionState,lower,30216.4,30468.6,0.0,-252.1999999999971,6.600000000002183,-252.1999999999971,-65.93999999999869,0,-94.46999999999753
534,664,1687939200000.0,30179.9,30276.0,30121.2,30271.5,4514.229,136344173.0785,2023-06-28 08:00:00,8.981e-05,-0.000222,66084.776,41.35,30616.95,30302.26,30459.61,30774.3,30144.92,30931.64,29987.57,-46.2,3.09,-49.29,11.36,24.16,19.06,20.01,3606.8359285714287,130.91,188.11000000000058,56.26,-1.14,30404.61,30282.02,502.7999999999993,-126.58000000000175,10.520000000000437,133.11000000000058,-28.65,11.350000000000001,-12.8,-49.290000000000006,629.380000000001,PositionState,lower,30271.5,30403.4,0.0,-131.90000000000146,191.5,-131.90000000000146,2.3249999999993634,0,-44.029999999998836
589,719,1688137200000.0,30073.0,30191.9,29982.3,30051.6,9116.966,274100385.8504,2023-06-30 15:00:00,0.0001,-0.000516,62582.365,35.51,30795.79,30248.55,30522.17,31069.42,29974.93,31343.04,29701.31,-27.77,56.61,-84.38,18.27,33.6,33.09,25.0,16465.243857142857,471.6,470.5699999999997,113.4,-1.13,30581.52,30172.37,1017.8199999999997,-76.66999999999825,120.77000000000044,529.9200000000019,-34.49,5.509999999999998,-15.330000000000002,-84.38,1094.489999999998,PositionState,lower,30051.6,30471.8,0.0,-420.2000000000007,0.0,-420.2000000000007,-295.1714285714302,0,-249.0
640,770,1688320800000.0,30429.1,30519.2,30350.2,30519.2,3267.786,99486740.3898,2023-07-02 18:00:00,0.0001,-0.000333,59147.438,50.45,30551.85,30475.81,30513.83,30589.87,30437.79,30627.88,30399.78,-3.3,0.06,-3.36,17.2,28.64,14.78,13.37,2942.2597142857144,154.01,-5.369999999998981,-7.88,-4.58,30514.28,30500.42,70.66999999999825,-81.40999999999985,-18.780000000002474,-4.920000000001892,-19.549999999999997,20.450000000000003,-11.440000000000001,-3.36,152.0799999999981,PositionState,lower,30519.2,30549.4,0.0,-30.200000000000728,0.0,-30.200000000000728,-15.100000000000364,0,-24.4900000000016
