start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2021-03-17 19:00:00,1821.75,1840.65,1820.0,1828.85,7614.49,13925760.0365,2021-03-17 19:00:00,67.48,1804.0,1769.54,1786.77,1821.23,1752.31,1838.46,1735.08,3.85,4.67,-1.77,6.45,29.86,16.49,22.79,24.26,3234.727857142857,374.94,-42.07999999999993,21.34,13.48,1785.27,1810.26,-7.619999999999891,-76.53999999999996,-18.589999999999918,-43.57999999999993,-2.519999999999996,37.480000000000004,13.370000000000001,6.4399999999999995,68.92000000000007,0.0,EntryPreparationState,upper,1828.85,1808.05,0.0,-37.419802061404695,1,0.0,None,34.674683544303846,-38.978158405555675,None,0
2021-03-20 04:00:00,1834.55,1844.0,1829.5,1830.75,2934.38,5372116.185,2021-03-20 04:00:00,58.18,1827.45,1811.87,1819.66,1835.24,1804.08,1843.03,1796.29,1.71,7.13,6.54,0.58,26.73,13.48,19.47,17.66,2344.546428571429,5.88,-11.089999999999918,-1.49,2.71,1824.22,1829.46,4.490000000000009,-26.670000000000073,-1.2899999999999636,-6.529999999999973,-11.82,28.18,13.25,0.5899999999999999,31.160000000000082,0.0,EntryPreparationState,upper,1830.75,1829.95,0.0,-4.610938140106374,1,0.0,None,65.36038508807879,-24.111142974190717,None,0
2021-03-26 17:00:00,1666.65,1667.9,1657.5,1663.7,1482.51,2466451.887,2021-03-26 17:00:00,64.03,1651.97,1612.55,1632.26,1671.68,1592.83,1691.39,1573.12,4.83,10.96,6.04,4.91,26.37,14.84,21.95,28.7,2088.0935714285715,-50.78,-31.440000000000055,15.34,5.3,1640.28,1655.94,7.980000000000018,-70.87000000000012,-7.759999999999991,-23.420000000000073,-5.969999999999999,34.03,11.530000000000001,4.920000000000001,78.85000000000014,0.0,EntryPreparationState,upper,1663.7,1679.5,0.0,25.190713469976526,1,0.0,None,96.7781390875759,-20.791134218909793,None,0
2021-03-27 17:00:00,1706.95,1712.3,1705.25,1710.95,1894.99,3242233.1405,2021-03-27 17:00:00,66.68,1695.38,1678.36,1686.87,1703.89,1669.85,1712.4,1661.34,2.01,10.7,11.85,-1.14,29.08,14.42,27.65,30.84,1431.012857142857,1.87,-24.080000000000155,3.84,7.31,1690.91,1700.22,-7.059999999999945,-41.100000000000136,-10.730000000000018,-20.039999999999964,-3.319999999999993,36.68000000000001,14.659999999999998,-1.1500000000000004,34.04000000000019,0.0,EntryPreparationState,upper,1710.95,1706.0,0.0,-11.979388643736275,1,0.0,None,36.76546070896275,-19.869741956223425,None,0
2021-03-29 09:00:00,1736.1,1767.35,1736.1,1760.05,7969.47,14026665.6735,2021-03-29 09:00:00,74.94,1725.56,1683.99,1704.77,1746.34,1663.2,1767.13,1642.41,4.87,7.12,0.15,6.97,44.34,14.77,18.87,20.53,1965.2685714285715,354.81,-55.27999999999997,34.29,22.39,1707.46,1732.41,-13.710000000000036,-96.84999999999991,-27.639999999999873,-52.58999999999992,4.939999999999998,44.94,29.570000000000004,6.97,83.13999999999987,0.0,EntryPreparationState,upper,1760.05,1825.0,0.0,107.4070821851653,1,0.0,None,174.81993977443807,-10.799786937870795,None,0
2021-03-31 19:00:00,1894.5,1919.75,1894.5,1901.9,9255.52,17603073.488,2021-03-31 19:00:00,71.46,1870.55,1818.15,1844.35,1896.74,1791.96,1922.94,1765.76,5.68,12.82,5.39,7.43,39.9,16.16,22.65,25.47,4890.867857142856,567.86,-57.55000000000018,32.77,15.71,1848.51,1879.84,-5.160000000000082,-109.94000000000005,-22.060000000000173,-53.3900000000001,1.4599999999999937,41.459999999999994,23.74,7.430000000000001,104.77999999999997,0.0,EntryPreparationState,upper,1901.9,2092.0,0.0,296.5580367001418,1,0.0,None,383.3133866133864,-30.66736947263262,None,0
2021-04-05 15:00:00,2121.15,2126.0,2105.6,2117.6,6019.17,12746194.392,2021-04-05 15:00:00,69.44,2092.78,2034.4,2063.59,2121.97,2005.21,2151.16,1976.02,5.65,9.59,0.33,9.26,32.3,15.4,24.44,21.43,4751.975,229.47,-54.00999999999976,29.48,9.75,2065.93,2099.36,4.369999999999891,-112.38999999999987,-18.23999999999978,-51.67000000000007,-0.5600000000000023,39.44,16.9,9.26,116.75999999999976,0.0,EntryPreparationState,upper,2117.6,2100.35,0.0,-27.738043067623767,1,0.0,None,53.22625613902501,-50.192708726860744,None,0
2021-04-09 11:00:00,2091.9,2097.2,2083.55,2086.3,2645.84,5520015.992,2021-04-09 11:00:00,60.23,2080.39,2059.37,2069.88,2090.9,2048.87,2101.4,2038.36,2.03,12.57,12.83,-0.26,27.42,14.79,22.53,22.69,2269.1035714285713,15.28,-16.420000000000073,0.82,5.92,2078.68,2084.35,4.599999999999909,-37.43000000000029,-1.9500000000002728,-7.620000000000346,-9.770000000000003,30.229999999999997,12.630000000000003,-0.2599999999999998,42.0300000000002,0.0,EntryPreparationState,upper,2086.3,2068.0,0.0,-29.614528111968685,1,0.0,None,2.8831951301342085,-48.30790873795722,None,0
2021-04-10 02:00:00,2097.4,2120.7,2090.55,2120.5,5970.5,12660445.25,2021-04-10 02:00:00,70.23,2090.82,2065.23,2078.02,2103.61,2052.43,2116.41,2039.64,2.46,7.62,5.52,2.1,30.71,14.71,14.33,17.96,2467.9657142857145,268.95,-42.48000000000002,23.37,15.17,2080.25,2096.3,-16.889999999999873,-68.07000000000016,-24.199999999999818,-40.25,0.23000000000000398,40.230000000000004,16.0,2.1000000000000005,51.18000000000029,0.0,EntryPreparationState,upper,2120.5,2131.95,0.0,12.899009667530844,1,0.0,None,123.53329403442622,-3.3000000000000003,None,0
2021-04-12 07:00:00,2188.7,2207.55,2182.5,2184.65,6083.75,13290864.4375,2021-04-12 07:00:00,62.98,2167.17,2139.41,2153.29,2181.05,2125.53,2194.93,2111.64,2.57,8.31,4.62,3.69,35.02,12.14,16.3,13.39,2762.315714285714,289.09,-31.360000000000127,23.3,12.02,2157.01,2173.44,-3.599999999999909,-59.11999999999989,-11.210000000000036,-27.639999999999873,-7.020000000000003,32.98,22.880000000000003,3.6900000000000004,55.51999999999998,0.0,EntryPreparationState,upper,2184.65,2147.05,0.0,-54.93298468862285,1,0.0,None,12.011377108461783,-76.76714576705653,None,0
