,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
0,1598198400.0,11655.0,11696.5,11629.5,11681.0,265.015,3095640.215,2020-08-23 16:00:00,0.0001,0.0001,4926.878,48.9,11790.99,11549.14,11670.07,11911.92,11428.22,12032.84,11307.29,-58.19,-68.94,10.74,17.01,24.42,29.05,26.41,1062.4157857142857,-70.17,-10.930000000000291,-16.32,3.99,11611.0,11621.0,230.92000000000007,-252.78000000000065,-60.0,-70.0,-21.1,18.9,-7.41,10.75,483.7000000000007,IdleState,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1,1598212800.0,11681.0,11722.5,11649.0,11660.0,498.981,5818118.46,2020-08-23 20:00:00,0.0001,0.001111,4952.256,47.59,11782.13,11556.08,11669.11,11895.16,11443.06,12008.19,11330.03,-51.97,-65.55,13.57,17.86,23.29,27.91,26.37,991.7392142857142,-70.67,9.110000000000582,-37.94,2.7,11621.88,11636.6,235.15999999999985,-216.9400000000005,-23.399999999999636,-38.1200000000008,-22.409999999999997,17.590000000000003,-5.43,13.579999999999998,452.10000000000036,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,1598227200.0,11660.0,11682.0,11605.0,11676.5,412.064,4811465.296,2020-08-24 00:00:00,0.0001,-8.7e-05,4943.588,48.75,11774.55,11565.07,11669.81,11879.3,11460.33,11984.04,11355.59,-45.19,-61.48,16.28,16.97,24.97,27.28,26.83,918.7735,-72.96,-6.690000000000509,-49.89,-1.72,11631.83,11652.56,202.79999999999927,-216.17000000000007,-23.94000000000051,-44.67000000000007,-21.25,18.75,-8.0,16.29,418.96999999999935,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,1598241600.0,11676.5,11784.5,11648.5,11763.0,852.811,10031615.793,2020-08-24 04:00:00,0.0001,0.000532,4949.192,54.44,11776.21,11581.16,11678.69,11873.74,11483.64,11971.26,11386.11,-32.46,-55.67,23.21,22.02,22.81,25.46,26.86,744.4247142857142,-174.34,-84.30999999999949,-44.72,6.32,11650.83,11696.73,110.73999999999978,-279.3600000000006,-66.27000000000044,-112.17000000000007,-15.560000000000002,24.439999999999998,-0.7899999999999991,23.21,390.10000000000036,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,1598256000.0,11763.0,11826.0,11762.5,11797.0,773.905,9129757.285,2020-08-24 08:00:00,0.0001,0.000963,4941.308,56.49,11780.5,11599.41,11689.95,11871.04,11508.87,11961.58,11418.33,-19.41,-48.42,29.01,23.82,21.86,23.95,26.76,682.1725714285714,-62.25,-107.04999999999927,-33.48,7.8,11665.11,11736.84,74.04000000000087,-288.1299999999992,-60.159999999999854,-131.88999999999942,-13.509999999999998,26.490000000000002,1.9600000000000009,29.01,362.1700000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
5,1598270400.0,11797.0,11818.5,11738.5,11768.0,584.773,6881608.664,2020-08-24 12:00:00,0.0001,0.00016,4929.326,54.25,11781.45,11613.32,11697.39,11865.52,11529.25,11949.59,11445.19,-11.27,-40.99,29.71,22.55,22.3,22.28,26.3,626.3251428571429,-55.84,-70.61000000000058,-28.59,0.08,11683.16,11749.3,97.52000000000044,-238.75,-18.700000000000728,-84.84000000000015,-15.75,24.25,0.25,29.720000000000002,336.27000000000044,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
6,1598284800.0,11768.0,11785.0,11713.0,11752.5,392.569,4613667.1725,2020-08-24 16:00:00,0.0001,0.0007,4900.068,53.04,11788.09,11617.18,11702.63,11873.55,11531.72,11959.0,11446.27,-6.0,-33.99,27.98,21.44,22.94,20.93,25.89,616.2979999999999,-10.02,-49.8700000000008,0.03,-3.01,11698.27,11750.58,121.04999999999927,-220.78000000000065,-1.9200000000000728,-54.22999999999956,-16.96,23.04,-1.5,27.990000000000002,341.8299999999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,1598299200.0,11752.5,11789.0,11720.5,11766.0,216.484,2547150.744,2020-08-24 20:00:00,0.0001,0.001324,4830.834,54.0,11796.17,11621.17,11708.67,11883.68,11533.66,11971.18,11446.16,-0.73,-27.34,26.6,20.69,21.84,19.63,25.49,576.1693571428572,-40.12,-57.32999999999993,16.21,-0.75,11724.33,11756.74,117.68000000000029,-232.34000000000015,-9.260000000000218,-41.67000000000007,-16.0,24.0,-1.1499999999999986,26.61,350.02000000000044,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,1598313600.0,11766.0,11766.0,11667.0,11672.5,502.35,5863680.375,2020-08-25 00:00:00,0.0001,0.000426,4846.116,46.84,11792.56,11617.89,11705.22,11879.89,11530.55,11967.23,11443.22,-4.05,-22.68,18.63,19.25,24.08,19.02,24.98,571.1798571428571,-4.98,32.719999999999345,9.45,-4.43,11726.27,11723.04,207.38999999999942,-141.95000000000073,50.54000000000087,53.77000000000044,-23.159999999999997,16.840000000000003,-4.829999999999998,18.63,349.34000000000015,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,1598328000.0,11672.5,11696.5,11565.0,11598.0,674.69,7825054.62,2020-08-25 04:00:00,0.0001,0.000877,4708.68599999,42.06,11779.21,11610.82,11695.01,11863.4,11526.62,11947.59,11442.43,-12.55,-20.66,8.1,17.5,28.93,19.42,24.97,564.9565714285715,-6.22,97.01000000000022,-16.35,-8.04,11717.05,11673.02,265.39999999999964,-71.3799999999992,75.02000000000044,119.04999999999927,-27.939999999999998,12.060000000000002,-11.43,8.11,336.77999999999884,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
