,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
52,1598947200.0,11930.0,11958.0,11856.5,11884.0,1040.866,12369651.544,2020-09-01 08:00:00,0.0001683,0.001345,4890.82,65.91,11789.63,11551.85,11670.74,11908.52,11432.97,12027.41,11314.08,82.46,57.71,24.74,29.3,19.11,16.45,16.68,766.4541428571429,6.18,-213.26000000000022,113.1,12.73,11736.55,11825.21,24.520000000000437,-451.03000000000065,-58.79000000000087,-147.45000000000073,-4.090000000000003,35.91,10.190000000000001,24.749999999999993,475.5500000000011,PositionState,upper,11884.0,11732.0,0.0,-152.0,170.5,-152.0,18.5,0,6.680000000000291
121,1599940800.0,10453.5,10466.0,10405.0,10431.5,332.682,3470372.283,2020-09-12 20:00:00,0.0001,-0.000662,3769.928,56.6,10393.76,10265.96,10329.86,10457.66,10202.05,10521.57,10138.15,29.35,9.88,19.47,20.84,16.23,17.33,26.33,491.8889285714286,-82.0,-101.63999999999942,35.86,4.93,10366.66,10406.4,26.159999999999854,-229.45000000000073,-25.100000000000364,-64.84000000000015,-13.399999999999999,26.6,4.609999999999999,19.47,255.61000000000058,PositionState,upper,10431.5,10327.5,0.0,-104.0,115.0,-104.0,29.625,0,20.44000000000051
132,1600099200.0,10688.0,10740.0,10643.0,10659.5,1049.702,11189298.469,2020-09-14 16:00:00,7.039e-05,-7.1e-05,4568.906,64.68,10533.1,10305.52,10419.31,10646.89,10191.72,10760.69,10077.93,60.14,32.48,27.66,34.04,17.06,17.33,17.72,784.8143571428571,57.48,-240.1900000000005,122.63,10.54,10420.38,10573.26,-12.610000000000582,-467.78000000000065,-86.23999999999978,-239.1200000000008,-5.319999999999993,34.68000000000001,16.98,27.660000000000004,455.1700000000001,PositionState,upper,10659.5,10827.0,0.0,167.5,468.5,0.0,232.26388888888889,0,341.0799999999999
212,1601251200.0,10770.0,10951.5,10770.0,10885.5,1567.425,17062204.8375,2020-09-28 00:00:00,0.0001,0.0001,5453.71,64.82,10755.52,10642.39,10698.96,10812.09,10585.83,10868.65,10529.26,50.65,36.41,14.24,32.96,14.59,19.8,20.72,586.666,76.12,-186.54000000000087,46.93,9.51,10738.83,10796.75,-73.40999999999985,-299.6700000000001,-88.75,-146.67000000000007,-5.180000000000007,34.81999999999999,18.37,14.240000000000002,226.26000000000022,PositionState,upper,10885.5,10688.0,0.0,-197.5,11.0,-197.5,-41.333333333333336,0,-3.180000000000291
276,1602172800.0,10885.5,10937.5,10845.0,10869.5,776.496,8440123.272,2020-10-08 16:00:00,0.0001,-0.000956,5680.81,65.86,10767.86,10588.71,10678.28,10857.43,10499.14,10947.0,10409.57,27.21,5.26,21.95,35.33,17.37,16.29,16.97,922.6274285714286,-9.16,-191.21999999999935,105.42,19.85,10679.33,10780.52,-12.069999999999709,-370.3600000000006,-88.97999999999956,-190.17000000000007,-4.140000000000001,35.86,17.959999999999997,21.950000000000003,358.2900000000009,PositionState,upper,10869.5,11371.5,0.0,502.0,685.5,0.0,433.04285714285714,0,617.369999999999
342,1603123200.0,11788.0,11813.0,11665.0,11678.0,839.879,9808106.962,2020-10-19 16:00:00,-0.00010762,-0.000506,5054.144,64.52,11585.57,11351.86,11468.71,11702.42,11235.0,11819.28,11118.15,64.13,32.27,31.86,37.24,8.07,26.5,21.72,654.8462142857143,35.06,-209.29000000000087,192.45,10.78,11509.55,11624.27,24.420000000000073,-443.0,-53.72999999999956,-168.45000000000073,-5.480000000000004,34.519999999999996,29.17,31.859999999999992,467.4200000000001,PositionState,upper,11678.0,13217.5,0.0,1539.5,2112.5,0.0,1170.1666666666667,0,1777.8999999999996
413,1604145600.0,13930.5,13932.5,13739.5,13848.5,2460.939,34080313.7415,2020-10-31 12:00:00,0.0001,0.000596,6193.944,64.33,13700.24,13264.07,13482.15,13918.32,13045.99,14136.4,12827.9,142.41,104.37,38.04,33.9,11.43,27.2,28.57,2805.6157857142857,106.5,-366.35000000000036,146.03,9.38,13553.27,13749.82,69.81999999999971,-802.5100000000002,-98.68000000000029,-295.22999999999956,-5.670000000000002,34.33,22.47,38.03999999999999,872.3299999999999,PositionState,upper,13848.5,13414.0,0.0,-434.5,0.0,-434.5,-124.5,0,-147.5
434,1604448000.0,14012.0,14030.0,13700.5,13888.5,3907.917,54275105.2545,2020-11-04 00:00:00,0.0001,0.000114,6531.386,59.65,13812.73,13490.8,13651.76,13973.7,13329.83,14134.66,13168.86,70.17,46.19,23.97,28.42,17.42,20.62,25.32,2462.6424999999995,232.93,-236.73999999999978,96.24,5.2,13636.55,13824.07,85.20000000000073,-558.6700000000001,-64.43000000000029,-251.95000000000073,-10.350000000000001,29.65,11.0,23.980000000000004,643.8700000000008,PositionState,upper,13888.5,13591.0,0.0,-297.5,0.0,-297.5,-148.75,0,-93.22999999999956
439,1604520000.0,14099.5,14234.0,13939.0,14130.0,2769.136,39127891.68,2020-11-04 20:00:00,0.0001,0.000699,6866.302,63.11,13967.73,13540.28,13754.01,14181.46,13326.55,14395.18,13112.83,114.67,71.81,42.86,31.71,14.82,21.6,23.73,2661.7999285714286,-89.14,-375.9899999999998,181.96,5.7,13858.44,13999.16,51.45999999999913,-803.4500000000007,-130.84000000000015,-271.5599999999995,-6.890000000000001,33.11,16.89,42.86,854.9099999999999,PositionState,upper,14130.0,14649.5,0.0,519.5,1608.5,0.0,1045.9444444444443,0,1126.0300000000007
467,1604923200.0,15804.0,15805.5,14958.0,15011.0,9222.804,138443510.844,2020-11-09 12:00:00,0.0001,0.000464,4731.828,48.7,15485.29,14913.14,15199.22,15771.37,14627.07,16057.44,14340.99,194.82,237.55,-42.73,24.66,17.62,26.57,35.85,3901.1156428571426,465.29,188.21999999999935,74.92,-1.87,15318.44,15324.51,760.3700000000008,-383.9300000000003,313.5100000000002,307.4400000000005,-21.299999999999997,18.700000000000003,7.039999999999999,-42.73000000000002,1144.300000000001,PositionState,upper,15011.0,15173.0,0.0,162.0,343.5,0.0,243.21428571428572,0,-73.21999999999935
481,1605124800.0,15814.0,15878.5,15588.0,15687.5,3089.401,48464978.1875,2020-11-11 20:00:00,0.00038524,0.001436,7033.252,59.57,15616.01,15215.49,15415.75,15816.28,15015.23,16016.54,14814.97,160.28,138.82,21.45,26.05,13.17,20.04,22.71,3273.919428571429,-438.1,-271.75,121.52,2.32,15483.22,15665.28,128.78000000000065,-672.2700000000004,-22.219999999999345,-204.28000000000065,-10.43,29.57,12.88,21.460000000000008,801.0500000000011,PositionState,upper,15687.5,15916.5,0.0,229.0,729.0,-53.5,387.375,0,404.6299999999992
510,1605542400.0,16428.0,16835.0,16420.5,16775.0,7933.136,133078356.4,2020-11-16 16:00:00,0.00030183,0.00041,6600.194,70.54,16338.41,15900.3,16119.36,16557.46,15681.25,16776.52,15462.2,154.95,109.41,45.53,31.27,12.73,18.28,21.62,2480.0810000000006,233.09,-655.6399999999994,307.12,10.15,16157.16,16461.04,-217.54000000000087,-1093.75,-313.9599999999991,-617.8400000000001,0.5400000000000063,40.540000000000006,18.54,45.53999999999999,876.2099999999991,PositionState,upper,16775.0,17928.0,0.0,1153.0,2032.0,-191.0,1199.5142857142857,0,1873.0599999999977
557,1606219200.0,19026.5,19391.5,18965.0,19319.5,5267.503,101765524.2085,2020-11-24 12:00:00,0.0019319,-0.000375,13115.927,67.61,18805.46,18230.7,18518.08,19092.84,17943.31,19380.22,17655.93,203.51,176.62,26.89,29.35,20.18,20.07,27.67,5621.378357142858,167.76,-801.4199999999983,355.59,13.84,18582.66,18906.98,-226.65999999999985,-1376.1899999999987,-412.52000000000044,-736.8400000000001,-2.3900000000000006,37.61,9.170000000000002,26.889999999999986,1149.5299999999988,PositionState,upper,19319.5,18737.5,0.0,-582.0,0.0,-582.0,-247.5,0,30.200000000000728
670,1607846400.0,19231.0,19374.0,19162.0,19322.0,3125.807,60396842.854,2020-12-13 08:00:00,-0.00019058,-0.000349,9464.79,67.11,18996.76,18143.73,18570.24,19423.28,17717.21,19849.79,17290.69,133.27,-22.36,155.63,30.06,15.54,29.91,34.19,2482.5167857142856,-170.16,-751.7599999999984,443.84,8.76,18712.72,19070.33,101.27999999999884,-1604.7900000000009,-251.66999999999825,-609.2799999999988,-2.8900000000000006,37.11,14.52,155.63,1706.0699999999997,PositionState,upper,19322.0,22667.0,0.0,3345.0,4651.0,-214.0,2223.1530612244896,0,4312.079999999998
743,1608897600.0,24594.5,24654.5,23835.5,24064.5,5892.568,141801702.636,2020-12-25 12:00:00,0.0001,0.00143,7148.992,58.24,23896.26,23140.24,23518.25,24274.28,22762.22,24652.29,22384.21,243.86,173.23,70.62,26.58,14.25,18.04,22.39,4422.211714285714,230.74,-546.25,232.84,8.49,23605.77,24001.42,209.77999999999884,-1302.2799999999988,-63.080000000001746,-458.72999999999956,-11.759999999999998,28.240000000000002,12.329999999999998,70.63000000000002,1512.0599999999977,PositionState,upper,24064.5,30675.0,0.0,6610.5,10430.0,0.0,4509.175,0,7994.240000000002
818,1609977600.0,36775.5,37739.5,36490.0,37537.0,4718.314,177111352.618,2021-01-07 00:00:00,0.00277443,0.00392,5522.672,75.18,35698.16,31951.96,33825.06,37571.26,30078.86,39444.36,28205.76,1404.24,1049.96,354.27,31.74,14.16,24.46,26.99,5988.1441428571425,-439.68,-3711.9400000000023,1901.0,5.01,35058.44,36321.76,34.26000000000204,-7458.139999999999,-1215.239999999998,-2478.5599999999977,5.180000000000007,45.18000000000001,17.58,354.28,7492.4000000000015,PositionState,upper,37537.0,39233.0,0.0,1696.0,3850.5,-695.0,2137.1666666666665,0,3750.4300000000003
